Jurisdiction of Occurrence,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Pneumonia,Chronic Lower Respiratory Diseases,"Nephritis, Nephrotic Syndrome, and Nephrosis",Diseases of Heart,Cerebrovascular Diseases,Intentional Self-Harm (Suicide),Drug Overdose,Respiratory Disease
United States,1,243298,226621,3944,51101,7344,8305,7929,15078,4600,58229,12074,3320,4026,23007
United States,1,265355,247269,4194,52346,8053,11638,10005,16769,4979,63190,13576,3618,4354,26774
United States,1,245823,227341,3846,51863,7392,10612,5295,14331,4645,58049,12968,3720,4631,19626
United States,1,262832,241918,4089,52120,7907,12018,6925,16574,4818,61650,13595,3709,6233,23499
United States,1,257649,237219,3580,52087,8218,10961,5720,15330,4740,60675,13447,3833,5519,21050
United States,2,211980,197001,3214,45558,6443,7315,5561,12747,4064,50435,10780,3091,3895,18308
United States,2,227047,211028,3559,46226,6809,9477,6402,14196,4344,54374,11679,3215,4087,20598
United States,2,230021,212140,3459,48258,6851,9729,5162,13986,4307,54652,11823,3445,5022,19148
United States,2,233819,215160,3511,46531,7013,10309,6657,14934,4317,54944,11975,3381,5619,21591
United States,2,236998,218466,3660,46447,7028,10623,8554,14579,4398,54673,12176,3596,5244,23133
United States,2,232821,214074,3257,46739,7485,10098,5551,13890,4270,54835,12125,3561,5180,19441
United States,3,228477,212045,3451,50646,6738,7999,5148,13493,4300,54347,11395,3408,4106,18641
United States,3,242712,224708,3723,51192,7106,9790,5601,15185,4597,57615,12546,3935,4583,20786
United States,3,244283,224696,3773,51566,7108,10076,6208,15417,4652,57206,12431,3921,5511,21625
United States,3,251732,231028,3796,50785,7588,11179,6490,15832,4628,58476,12969,3870,6164,22322
United States,3,248805,228464,3673,50689,7415,10815,6133,14995,4534,58301,12927,4011,5793,21128
United States,3,254929,234074,3559,51450,7886,10809,6292,15149,4649,59728,13433,4161,5887,21441
United States,4,215600,199454,3125,48304,6343,7117,4512,12573,3902,50954,10773,3606,3733,17085
United States,4,224423,207336,3342,48745,6568,8859,4878,13982,4247,52961,11343,3726,4281,18860
United States,4,227191,208249,3480,48574,6522,9479,5068,13634,4124,52973,11671,3812,5259,18702
United States,4,231830,211542,3484,49056,6701,9932,4799,13916,4281,53081,12047,3972,5886,18715
United States,4,233164,213483,3278,48786,7032,9902,4633,13857,4219,54235,12312,3920,5555,18490
United States,4,235254,215336,3254,48493,7360,9824,4603,13785,4286,54920,12443,4029,5562,18388
United States,5,216862,199843,3105,49497,6272,7266,4099,12281,3980,50810,10963,3589,3925,16380
United States,5,223600,205087,3204,50072,6479,8674,4109,13376,4046,52243,11445,3966,4462,17485
United States,5,224528,205011,3257,49589,6626,9274,4053,12809,4082,51910,11637,3853,5158,16862
United States,5,229670,208638,3242,49814,6713,9498,3877,13410,4235,52924,11978,4257,6036,17287
United States,5,228772,208108,3092,49582,6805,9333,3588,13218,4081,53298,11812,4190,5773,16806
United States,5,236893,215726,3089,50627,7202,9722,3742,13428,4237,54985,12232,4052,5829,17170
United States,6,211175,193014,3019,48055,6076,8109,3679,11946,3881,48672,10897,3785,4176,15625
United States,6,213051,193541,2993,47587,6051,8687,3391,11703,3927,49210,10980,3726,5128,15094
United States,6,218929,198032,3060,48436,6349,8943,3482,12161,3777,50117,11126,4081,5884,15643
United States,6,220103,198902,2933,48344,6481,8906,3252,12206,3904,50456,11445,4378,5817,15458
United States,6,225422,204218,2886,48621,6867,9351,3300,12335,4054,51680,11556,4050,5807,15635
United States,7,209373,192035,3112,49259,5983,6990,3535,11161,3690,47991,10449,3534,3902,14696
United States,7,216951,197673,3151,50112,6251,8361,3476,11473,3935,50265,11218,3944,4497,14949
United States,7,219691,198767,3222,49792,6221,9038,3412,11681,3845,49709,11036,4033,5592,15093
United States,7,221869,200090,3014,50439,6472,9027,3363,11535,3735,50217,11362,4179,5938,14898
United States,7,225111,203310,3178,49870,6612,9082,3153,11720,3947,51396,11656,4356,5940,14873
United States,7,229211,207062,3015,50055,6880,9418,3068,11941,4097,52335,11870,4193,6162,15009
United States,8,208013,190204,2931,49519,5930,6986,3312,10722,3778,47109,10369,4027,3987,14034
United States,8,214404,195312,3236,50196,6173,8346,3439,10768,3797,48945,10964,3912,4492,14207
United States,8,219911,199453,3134,50593,6282,8991,3298,11464,3929,49701,11290,4042,5397,14762
United States,8,221887,200838,3071,50351,6390,9298,3189,11260,3874,49894,11687,4275,5863,14449
United States,8,224254,203330,3134,50582,6598,9277,3011,11339,4083,50652,11640,4300,5836,14350
United States,8,227280,205220,2893,50508,6658,9420,3035,11399,3929,51346,11816,4181,6194,14434
United States,9,205274,188322,2918,48331,5810,7238,3352,10426,3823,46909,10513,4034,3748,13778
United States,9,209905,191754,3123,48835,6012,8419,3378,10729,3781,47849,10826,3578,4481,14107
United States,9,214310,194685,3138,48688,6175,9077,3307,11107,3723,48258,11057,3720,5195,14414
United States,9,220262,199625,3173,48987,6558,9363,3313,11313,3922,49742,11426,4024,5786,14626
United States,9,218696,198209,3092,49018,6458,9250,3082,11061,3885,49112,11296,4136,5500,14143
United States,9,222715,201663,2952,48945,6585,9330,2882,11247,3882,50100,11752,4109,5882,14129
United States,10,218147,200741,3203,50900,6183,8319,3804,11412,3881,50401,11321,3791,4021,15216
United States,10,223535,204815,3390,50889,6566,9368,3883,11675,3927,51290,11792,3688,4546,15558
United States,10,228919,208592,3287,50815,6669,9875,3622,12009,4212,52414,11766,3838,5446,15631
United States,10,231125,210453,3275,51132,6829,10080,3614,12095,4053,52495,12177,4072,5538,15709
United States,10,233903,213240,3359,51631,7028,10080,3447,12073,4047,53232,12355,4127,5522,15520
United States,10,237661,216275,3186,51501,7082,10423,3294,11970,4316,53795,12693,4043,6133,15264
United States,11,221317,204268,3192,49377,6477,9069,3875,11759,3954,52027,11863,3480,3927,15634
United States,11,219788,202283,3315,48800,6582,9408,3763,11749,4060,51218,11777,3357,4199,15512
United States,11,227313,207691,3310,49285,6715,9988,3740,12279,4128,52606,12163,3458,5464,16019
United States,11,230891,210862,3348,49456,7061,10006,3905,12171,4263,53015,12301,3724,5491,16076
United States,11,233375,213904,3197,49827,7152,10391,3614,12258,4295,54389,12427,3651,5177,15872
United States,11,239028,218156,3176,49697,7332,10632,3520,12196,4427,54979,12955,3597,6176,15716
United States,12,243390,225948,3798,51105,7163,10182,6442,14242,4543,57992,12630,3394,4002,20684
United States,12,233735,215657,3517,50462,6860,10112,4449,13193,4365,55220,12260,3469,4246,17642
